Symbol	Name	Market
NSC	Norfolk Southern Railway	S&P500
NTRS	Northern Trust	S&P500
NOC	Northrop Grumman	S&P500
NCLH	Norwegian Cruise Line Holdings	S&P500
NRG	NRG Energy	S&P500
NUE	Nucor	S&P500
NVDA	Nvidia	S&P500
NVR	NVR, Inc.	S&P500
NXPI	NXP Semiconductors	S&P500
ORLY	O'Reilly Auto Parts	S&P500
OXY	Occidental Petroleum Corporation	S&P500
ODFL	Old Dominion	S&P500
OMC	Omnicom Group	S&P500
ON	ON Semiconductor	S&P500
OKE	ONEOK	S&P500
ORCL	Oracle Corporation	S&P500
OGN	Organon & Co.	S&P500
OTIS	Otis Elevator Company	S&P500
PCAR	Paccar	S&P500
PKG	Packaging Corporation of America	S&P500
PARA	Paramount Global	S&P500
PH	Parker Hannifin	S&P500
PAYX	Paychex	S&P500
PAYC	Paycom	S&P500
PYPL	PayPal	S&P500
PNR	Pentair	S&P500
PEP	PepsiCo	S&P500
PKI	PerkinElmer	S&P500
PFE	Pfizer	S&P500
PCG	PG&E Corporation	S&P500
PM	Philip Morris International	S&P500
PSX	Phillips 66	S&P500
PNW	Pinnacle West	S&P500
PXD	Pioneer Natural Resources	S&P500
PNC	PNC Financial Services	S&P500
POOL	Pool Corporation	S&P500
PPG	PPG Industries	S&P500
PPL	PPL Corporation	S&P500
PFG	Principal Financial Group	S&P500
PG	Procter & Gamble	S&P500
PGR	Progressive Corporation	S&P500
PLD	Prologis	S&P500
PRU	Prudential Financial	S&P500
PEG	Public Service Enterprise Group	S&P500
PTC	PTC	S&P500
PSA	Public Storage	S&P500
PHM	PulteGroup	S&P500
QRVO	Qorvo	S&P500
PWR	Quanta Services	S&P500
QCOM	Qualcomm	S&P500
DGX	Quest Diagnostics	S&P500
RL	Ralph Lauren Corporation	S&P500
RJF	Raymond James	S&P500
RTX	Raytheon Technologies	S&P500
O	Realty Income	S&P500
REG	Regency Centers	S&P500
REGN	Regeneron	S&P500
RF	Regions Financial Corporation	S&P500
RSG	Republic Services	S&P500
RMD	ResMed	S&P500
RHI	Robert Half	S&P500
ROK	Rockwell Automation	S&P500
ROL	Rollins, Inc.	S&P500
ROP	Roper Technologies	S&P500
ROST	Ross Stores	S&P500
RCL	Royal Caribbean Group	S&P500
SPGI	S&P Global	S&P500
CRM	Salesforce	S&P500
SBAC	SBA Communications	S&P500
SLB	Schlumberger	S&P500
STX	Seagate Technology	S&P500
SEE	Sealed Air	S&P500
SRE	Sempra Energy	S&P500
NOW	ServiceNow	S&P500
SHW	Sherwin-Williams	S&P500
SBNY	Signature Bank	S&P500
SPG	Simon Property Group	S&P500
SWKS	Skyworks Solutions	S&P500
SJM	The J.M. Smucker Company	S&P500
SNA	Snap-on	S&P500
SEDG	SolarEdge	S&P500
SO	Southern Company	S&P500
LUV	Southwest Airlines	S&P500
SWK	Stanley Black & Decker	S&P500
SBUX	Starbucks	S&P500
STT	State Street Corporation	S&P500
STLD	Steel Dynamics	S&P500
STE	Steris	S&P500
SYK	Stryker Corporation	S&P500
SIVB	SVB Financial	S&P500
SYF	Synchrony Financial	S&P500
SNPS	Synopsys	S&P500
SYY	Sysco	S&P500
TMUS	T-Mobile US	S&P500
TROW	T. Rowe Price	S&P500
TTWO	Take-Two Interactive	S&P500
TPR	Tapestry, Inc.	S&P500
TRGP	Targa Resources	S&P500
TGT	Target Corporation	S&P500
TEL	TE Connectivity	S&P500
TDY	Teledyne Technologies	S&P500
TFX	Teleflex	S&P500
TER	Teradyne	S&P500
TSLA	Tesla, Inc.	S&P500
TXN	Texas Instruments	S&P500
TXT	Textron	S&P500
TMO	Thermo Fisher Scientific	S&P500
TJX	TJX Companies	S&P500
TSCO	Tractor Supply	S&P500
TT	Trane Technologies	S&P500
TDG	TransDigm Group	S&P500
TRV	The Travelers Companies	S&P500
TRMB	Trimble Inc.	S&P500
TFC	Truist	S&P500
TYL	Tyler Technologies	S&P500
TSN	Tyson Foods	S&P500
USB	U.S. Bank	S&P500
UDR	UDR, Inc.	S&P500
ULTA	Ulta Beauty	S&P500
UNP	Union Pacific Corporation	S&P500
UAL	United Airlines Holdings	S&P500
UPS	United Parcel Service	S&P500
URI	United Rentals	S&P500
UNH	UnitedHealth Group	S&P500
UHS	Universal Health Services	S&P500
VLO	Valero Energy	S&P500
VTR	Ventas	S&P500
VRSN	Verisign	S&P500
VRSK	Verisk	S&P500
VZ	Verizon	S&P500
VRTX	Vertex Pharmaceuticals	S&P500
VFC	VF Corporation	S&P500
VTRS	Viatris	S&P500
VICI	Vici Properties	S&P500
V	Visa Inc.	S&P500
VMC	Vulcan Materials Company	S&P500
WAB	Wabtec	S&P500
WBA	Walgreens Boots Alliance	S&P500
WMT	Walmart	S&P500
WBD	Warner Bros. Discovery	S&P500
WM	Waste Management	S&P500
WAT	Waters Corporation	S&P500
WEC	WEC Energy Group	S&P500
WFC	Wells Fargo	S&P500
WELL	Welltower	S&P500
WST	West Pharmaceutical Services	S&P500
WDC	Western Digital	S&P500
WRK	WestRock	S&P500
WY	Weyerhaeuser	S&P500
WHR	Whirlpool Corporation	S&P500
WMB	Williams Companies	S&P500
WTW	Willis Towers Watson	S&P500
GWW	W. W. Grainger	S&P500
WYNN	Wynn Resorts	S&P500
XEL	Xcel Energy	S&P500
XYL	Xylem Inc.	S&P500
YUM	Yum! Brands	S&P500
ZBRA	Zebra Technologies	S&P500
ZBH	Zimmer Biomet	S&P500
ZION	Zions Bancorporation	S&P500
ZTS	Zoetis	S&P500
ATVI	Activision Blizzard	NASDAQ-100
ADBE	Adobe Inc.	NASDAQ-100
AMD	Advanced Micro Devices	NASDAQ-100
ALXN	Alexion Pharmaceuticals	NASDAQ-100
ALGN	Align Technology	NASDAQ-100
GOOGL	Alphabet Inc.	NASDAQ-100
AMZN	Amazon	NASDAQ-100
AAL	American Airlines Group	NASDAQ-100
AMGN	Amgen	NASDAQ-100
ADI	Analog Devices	NASDAQ-100
AAPL	Apple	NASDAQ-100
AMAT	Applied Materials	NASDAQ-100
ASML	ASML Holding	NASDAQ-100
ADSK	Autodesk	NASDAQ-100
ADP	Automatic Data Processing	NASDAQ-100
BIDU	Baidu	NASDAQ-100
BIIB	Biogen Idec	NASDAQ-100
BMRN	BioMarin Pharmaceutical	NASDAQ-100
BKNG	Booking Holdings	NASDAQ-100
AVGO	Broadcom Inc.	NASDAQ-100
CDNS	Cadence Design Systems	NASDAQ-100
CELG	Celgene	NASDAQ-100
CERN	Cerner Corporation	NASDAQ-100
CHTR	Charter Communications	NASDAQ-100
CHKP	Check Point	NASDAQ-100
CTAS	Cintas Corporation	NASDAQ-100
CSCO	Cisco Systems	NASDAQ-100
CTXS	Citrix Systems	NASDAQ-100
CTSH	Cognizant	NASDAQ-100
CMCSA	Comcast	NASDAQ-100
COST	Costco	NASDAQ-100
CSX	CSX Corporation	NASDAQ-100
CTRP	Ctrip	NASDAQ-100
DLTR	Dollar Tree	NASDAQ-100
EBAY	eBay	NASDAQ-100
EA	Electronic Arts	NASDAQ-100
EXPE	Expedia	NASDAQ-100
FB	Facebook	NASDAQ-100
FAST	Fastenal	NASDAQ-100
FISV	Fiserv	NASDAQ-100
FOX, FOXA	Fox Corporation	NASDAQ-100
GILD	Gilead Sciences	NASDAQ-100
HAS	Hasbro	NASDAQ-100
HSIC	Henry Schein	NASDAQ-100
IDXX	Idexx Laboratories	NASDAQ-100
ILMN	Illumina	NASDAQ-100
INCY	Incyte	NASDAQ-100
INTC	Intel Corporation	NASDAQ-100
INTU	Intuit	NASDAQ-100
ISRG	Intuitive Surgical	NASDAQ-100
JBHT	J. B. Hunt	NASDAQ-100
JD	JD.com	NASDAQ-100
KLAC	KLA-Tencor	NASDAQ-100
LRCX	Lam Research	NASDAQ-100
LBTYA, LBTYK	Liberty Global	NASDAQ-100
LULU	Lululemon Athletica	NASDAQ-100
MAR	Marriott International	NASDAQ-100
MXIM	Maxim Integrated	NASDAQ-100
MELI	MercadoLibre	NASDAQ-100
MCHP	Microchip Technology	NASDAQ-100
MU	Micron Technology	NASDAQ-100
MSFT	Microsoft	NASDAQ-100
MDLZ	Mondel?z International	NASDAQ-100
MNST	Monster Beverage	NASDAQ-100
MYL	Mylan	NASDAQ-100
NTAP	NetApp	NASDAQ-100
NTES	NetEase	NASDAQ-100
NFLX	Netflix	NASDAQ-100
NVDA	Nvidia	NASDAQ-100
NXPI	NXP Semiconductors	NASDAQ-100
ORLY	O’Reilly Auto Parts	NASDAQ-100
PCAR	Paccar	NASDAQ-100
PAYX	Paychex	NASDAQ-100
PYPL	PayPal	NASDAQ-100
PEP	PepsiCo	NASDAQ-100
QCOM	Qualcomm	NASDAQ-100
REGN	Regeneron Pharmaceuticals	NASDAQ-100
ROST	Ross Stores	NASDAQ-100
SIRI	Sirius XM Holdings	NASDAQ-100
SWKS	Skyworks Solutions	NASDAQ-100
SBUX	Starbucks	NASDAQ-100
SYMC	Symantec	NASDAQ-100
SNPS	Synopsys	NASDAQ-100
TTWO	Take-Two Interactive	NASDAQ-100
TSLA	Tesla, Inc.	NASDAQ-100
TXN	Texas Instruments	NASDAQ-100
KHC	Kraft Heinz	NASDAQ-100
TMUS	T-Mobile US	NASDAQ-100
ULTA	Ulta Beauty	NASDAQ-100
UAL	United Airlines Holdings	NASDAQ-100
VRSN	Verisign	NASDAQ-100
VRSK	Verisk Analytics	NASDAQ-100
VRTX	Vertex Pharmaceuticals	NASDAQ-100
WBA	Walgreens Boots Alliance	NASDAQ-100
WDC	Western Digital	NASDAQ-100
WLTW	Willis Towers Watson	NASDAQ-100
WDAY	Workday	NASDAQ-100
WYNN	Wynn Resorts	NASDAQ-100
XEL	Xcel Energy	NASDAQ-100
XLNX	Xilinx	NASDAQ-100
