SYMBOL,DESCRIPTION,ticker,cik,TICKER,CIK
GOLF,ACUSHNET HLDGS CORP COM (DE),GOLF,CIK0001672013,GOLF,CIK0001672013
ADMP,ADAMIS PHARMACEUTICALS CORP CO,ADMP,CIK0000887247,ADMP,CIK0000887247
PEO,ADAM NAT RES FD INC COM,PEO,CIK0000216851,PEO,CIK0000216851
ADIL,ADIAL PHARMACEUTICALS INC COM ,ADIL,CIK0001513525,ADIL,CIK0001513525
AEHR,AEHR TEST SYSTEMS,AEHR,CIK0001040470,AEHR,CIK0001040470
ACM,AECOM COM STK (DE),ACM,CIK0000868857,ACM,CIK0000868857
ADVM,ADVERUM BIOTECHNOLOGIES INC CO,ADVM,CIK0001501756,ADVM,CIK0001501756
AEFC,AEGON FDG CO LLC SUB NTS RETAI,AEFC,CIK0000769218,AEFC,CIK0000769218
AJRD,AEROJET ROCKETDYNE HLDGS INC C,AJRD,CIK0000040888,AJRD,CIK0000040888
WMS,ADVANCED DRAIN SYS INC COM STK,WMS,CIK0001604028,WMS,CIK0001604028
AMD,ADVANCED MICRO DEVICES,AMD,CIK0000002488,AMD,CIK0000002488
AEZS,AETERNA ZENTARIS INC COM NO PA,AEZS,CIK0001113423,AEZS,CIK0001113423
ASLE,AERSALE CORP,ASLE,CIK0001754170,ASLE,CIK0001754170
MGR,AFFILIATED MANAGERS GROUP INC ,MGR,CIK0001004434,MGR,CIK0001004434
AFRM,AFFIRM HLDGS INC CL A,AFRM,CIK0001820953,AFRM,CIK0001820953
AEVA,AEVA TECHNOLOGIES INC,AEVA,CIK0001789029,AEVA,CIK0001789029
AGE,AGEX THERAPEUTICS INC COM (DE),AGE,CIK0001708599,AGE,CIK0001708599
AGFY,AGRIFY CORP COM NEW,AGFY,CIK0001800637,AGFY,CIK0001800637
AGILW,AGILETHOUGHT INC WT EXP (DE),AGILW,CIK0001790625,AGILW,CIK0001790625
AGL,AGILON HEALTH INC COM (DE),AGL,CIK0001831097,AGL,CIK0001831097
